lda_topic_id,topic_name_cn,representative_rank,scenic_name,comment_id,rating,lda_topic_prob,review_text
1,整体满意与感知评价,1,司马台长城,164665754,5.0,0.9836565262555144,疫情期间人很少，从市区，开车两个小时即达。在古北水镇入口，有另外的摆渡车，负责送到长城入口。烽火台没有全部开放，因为修缮的原因，很锻炼身体，景色也很美。据说司马台和金山岭是相连的，隶属于北京和河北，不过我们咨询了一下，暂时还没有办法互通。司马台地势陡峭，如果腿脚不太灵便的伙伴，不建议前往。不过真的上来了也没关系，有缆车选项，可以直接送回接驳车站点。景色不错，值得推荐，有趣好玩，体验很好，
1,整体满意与感知评价,2,香山公园,166627635,5.0,0.9826387896630766,每周一次的峰主巡山活动继续，开车到9号停车场，从东门进园，走到北门登山道上山，35分钟登顶，今早太阳大，这种天气爬山会更耗费体力，到山顶还是喘了一会儿的。这次发现登山道装上了金属的距离提示牌，替代原来的建议数字记号，这很好，不过从600节台阶开始一直到顶，牌子都没了，不知道是没装结实掉了，还是被不自觉的人弄走了，很可惜，建议维护一下。这回下山走了大圈，顺路看了香山寺和双清别墅，双清别墅有党员宣誓活动，人山人海，几百人排队，就没进去。香山寺还挺清净的。
1,整体满意与感知评价,3,居庸关长城,175831948,5.0,0.982082346517475,很开心的，本是一场个人散心的旅行，为了给喜欢的纸片人角色实地打卡。路上偶然遇到了同样独行的大哥，正好搭伙一起爬城楼～从中午爬到下午大概耗时五六个小时左右？（走走停停拍照打卡+吃饭时间）大哥人特别好，一直在等我拍照哈哈哈，总之最后把整个圈跑了个遍，景色很美，虽然有点累但是超快乐！！天下九塞，雄关居庸。还请大家都来感受一次从城楼俯瞰的大气磅礴，如果不来真的会遗憾的(●&#39;◡&#39;●)（PS：中间一定要记得去云台噢～）
1,整体满意与感知评价,4,八达岭长城,638131824,4.0,0.9757310416883468,"有时候很可怕,但很有趣。 不是在高峰季节,在2月初。 还冷和风,但没有,可以安静地走路。步行上去建议(感受所有的美丽和一整套情绪),然后沿着子路下去(因为我,,多可怕,甚至爬上去,我不再说下坡)。我们只到达了墙的最高点,然后下了子(对于那些害怕高处的人来说,那里也将有乐趣)。到处都是手和子,甚至可以在那里吃饭。它值得,但人很多。"
1,整体满意与感知评价,5,慕田峪长城,578567312,5.0,0.9751430575975187,"慕田长城绝对惊艳,特别是在下雪的日子,雪山和长城让景色真正壮观难忘。 该地区维护得很好,不那么拥挤,但请注意,墙壁在某些部分相当陡峭。如果您与孩子或年长的家庭成员一起参观,这是需要记住的事情。 总的来说,这是一个美丽而难忘的地方,特别是在冬天。"
0,现场服务与导览体验,1,八达岭长城,667818355,5.0,0.9869546956774315,这次长城之旅真的非常满意，特别要感谢萌萌导游！整个行程安排得非常细心周到，从集合到讲解再到游览节奏，都让人感觉很舒适、很安心。 萌萌导游一路上都非常用心，不仅耐心讲解长城的历史和故事，还会贴心照顾每一位游客的状态，随时提醒注意安全和休息。最难得的是，她完全没有敷衍，每一个问题都会认真回答，让人感受到她对工作的热情和专业。 有这样的导游陪同，整个长城之行变得更加有意义，也更加轻松愉快。真心推荐给大家，如果有机会一定要找萌萌导游！
0,现场服务与导览体验,2,司马台长城,172134445,5.0,0.9844408968089089,司马台长城位于北京市东北部密云区北部的古北口镇司马台村北，紧邻古北水镇，距离北京120公里，属燕山山脉，司马台长城依险峻山势而筑，并以险、密、齐、巧、全五大特点著称于世。 司马台长城东起望京楼，西至后川口，全长5.7公里，其中鸳鸯湖水库将该长城分为东西两段。东段有敌楼16座，西段有敌楼19座，共计35座（包括已毁水中一座）。1987年司马台长城被列入世界遗产名录，是我国唯一保留明代原貌的古建筑遗址，被联合国教科文组织确定为“原始长城”。
0,现场服务与导览体验,3,八达岭长城,671962621,5.0,0.983673893908131,本次长城之行特别幸运遇到了超专业的导游孙导！讲解生动细致，从长城的历史典故、建筑构造到背后的人文故事都娓娓道来，让原本枯燥的行程变得趣味十足，对长城的认知也更加深刻。全程贴心周到，路线规划合理，避开人流高峰，还贴心提醒注意事项，全程节奏舒适不赶路。服务热情耐心，有问必答，专业能力与服务态度双在线，全程体验感拉满，强烈推荐！
0,现场服务与导览体验,4,故宫博物院,667217328,5.0,0.9824535431830217,秀才导游大海带领我们游览故宫，多亏了这位专业又亲切的导游。他学识渊博，对明清历史、宫殿规制如数家珍，将屋脊神兽、匾额典故、宫廷往事娓娓道来，让冰冷的建筑充满温度与故事。 讲解生动易懂，节奏恰到好处，既带我们领略中轴线的庄严，又细心讲解细节文化，耐心解答疑问。他不仅是向导，更是文化传播者，用热情与专业带我们读懂六百年紫禁城的厚重。此次故宫之行因他而充实难忘，由衷为他点赞。
0,现场服务与导览体验,5,中国科学技术馆,180808950,5.0,0.9820009594088912,如果下次我们还回到科技馆，我们必定会再次选这种一对一的小团。科技馆非常大涉及的方面也非常广，如果在适龄阶段，只是走马观花看个爽的话那是有点遗憾的。在我们的小团中，李老师会顺着我孩子的兴趣所在着重和他探讨相关方面的内容，而且有非常多的提问互动，我觉得这种有输入和输出的学习方式才是高效的。同时李老师也是一位教育非常成功的父亲，在这个过程中，不仅小朋友可以有所获益，我们家长也会在交流中有所启发，李老师不仅知识面广泛，而且还精通普通话和粤语，非常优秀。期待下次的相聚。
2,票务预约与入园体验,1,首都博物馆,169221193,5.0,0.9820153165403822,首都博物馆简称首博，位于北京长安街西延长线上、白云路的西侧，复兴门外大街16号。集收藏、展览、研究、考古、公共教育、文化交流于一体的博物馆，是北京地区大型综合性博物馆，属中国省市级综合性博物馆。 截至2015年末，首都博物馆总建筑面积63390平方米，常设展览藏品数量为5622件，展馆有地上五层、地下二层。先后被评为：“国家一级博物馆”、“全国科普教育基地”、“爱国主义教育基地”。
2,票务预约与入园体验,2,颐和园,224388928,5.0,0.9809139057526924,颐和园不愧是中国皇家园林的瑰宝，令人陶醉其中，流连忘返。 一进入颐和园，就能感受到它宏大的规模和皇家的气派。昆明湖碧波荡漾，占据了园区约四分之三的面积，湖光山色相互映衬，宛如一幅天然的画卷。万寿山巍峨耸立，山上的佛香阁雄踞山巅，气势磅礴，登上佛香阁，整个颐和园的美景尽收眼底￼￼￼。园中还有著名的十七孔桥，它如长虹卧波，横跨在昆明湖上，尤其是在冬至日午后，阳光穿透所有桥洞，形成“金光穿洞”的奇观，令人叹为观止￼￼￼
2,票务预约与入园体验,3,颐和园,200707914,5.0,0.9807832219529422,颐和园最突出的特色在于山环水抱的自然景观和皇家气派的宫苑建筑的完美结合，在真山、真水中进行景点设计，既突出皇家的气派，又体现了园林与山、水的和谐统一；既师法自然又高于自然，将自然美与人工雕琢巧妙地融于一体。74 颐和园的园林造景，融合了中国绘画、诗歌和文学的意境，造就出中国皇家园林宏大的气势、辉煌的色彩及其与山水绿化环境的充分协调关系。75 颐和园藏文物有四万余件，品类几乎涵盖了中国传世文物的所有门类，国家级文物有二万余件。
2,票务预约与入园体验,4,玉渊潭公园,175488926,4.0,0.9798828272039766,位于军博后身的玉渊潭南路、世纪坛北面，交通极其便利，有地铁1号、9号线和多路公交车可抵达。4月樱花节期间门票10元，需要预约，60岁以上老人凭身份证不需要预约，年、月、季票及老年卡可用。3月的桃花杏花玉兰海棠、4月的樱花🌸牡丹紫罗，6月的荷花，以及常年的月季次第绽放，非常赏心悦目。玉渊潭公园里的东湖西湖，在春夏秋三季正常天气都有多种游船，游人荡舟湖上，岸边花香隐隐，胡上水禽相伴，神仙美景令人心旷神怡。
2,票务预约与入园体验,5,国家游泳中心,169809531,5.0,0.9792314199336974,国家游泳中心是具有国际先进水平的、集游泳、运动、健身、休闲于一体的中心，它成为北京市民的水上娱乐中心。国家游泳中心利用南广场地下空间建立了2块冰面，一块为标准冰场、另一块为冰壶场地，将作为奥林匹克中心区冰壶项目体验基地，为大众提供开放的平台，为三亿人参与冰雪运动提供助力。国际奥委会主席托马斯·巴赫称赞，“冰立方”是奥运场馆可持续发展的典范。
3,交通与开放空间体验,1,玉渊潭公园,174191260,5.0,0.9831903632640852,玉渊潭公园位于北京海淀区。东门与钓鱼台国宾馆相邻；西至西三环中路与中央电视塔隔路相望；南门在中华世纪坛正北方，北接海军总医院。 1960年定名玉渊潭公园。公园东西宽1820米，南北长1106米，规划总面积136.69公顷，其中水域面积61公顷，建成绿地面积74.44公顷。 公园主要景区由西部樱花园、北部引水湖景区、南部中山岛、东面的留春园等组成。公园每年春季都会举办“樱花赏花会”。
3,交通与开放空间体验,2,玉渊潭公园,171952099,5.0,0.9820078205473941,玉渊潭公园，AAAA级景区，位于海淀区。东门与钓鱼台国宾馆相邻；西至西三环中路与中央电视塔隔路相望；南门在中华世纪坛正北方，北接海军总医院。 1960年定名玉渊潭公园。截至2015年，东西宽1820米，南北长1106米，规划总面积136.69公顷，其中水域面积61公顷，建成绿地面积74.44公顷（含草坪），绿化覆盖率达到95%以上，园内现有各种植物约19.95万株。
3,交通与开放空间体验,3,玉渊潭公园,174798353,4.0,0.9819568680002597,1960年定名玉渊潭公园。截至2015年，东西宽1820米，南北长1106米，规划总面积136.69公顷，其中水域面积61公顷，建成绿地面积74.44公顷（含草坪），绿化覆盖率达到95%以上，园内现有各种植物约19.95万株。公园主要景区由西部樱花园、北部引水湖景区（局部建成）、南部中山岛、东面的留春园等组成。公园每年春季都会举办“樱花赏花会”。遛弯儿常去，离家很近。
3,交通与开放空间体验,4,玉渊潭公园,173713923,5.0,0.9815141456336598,1960年定名玉渊潭公园。截至2015年，东西宽1820米，南北长1106米，规划总面积136.69公顷，其中水域面积61公顷，建成绿地面积74.44公顷（含草坪），绿化覆盖率达到95%以上，园内现有各种植物约19.95万株。公园主要景区由西部樱花园、北部引水湖景区（局部建成）、南部中山岛、东面的留春园等组成。公园每年春季都会举办“樱花赏花会”。
3,交通与开放空间体验,5,天坛公园,206026997,5.0,0.9796726577975653,游览路线： 🌹1小时游览路线： 1⃣天坛南门→圜丘→回音壁→九龙柏→丹陛桥→祈年殿→出北门。（南入北出也是皇帝祭天的路线，南低北高也有步步高升的寓意） 2⃣天坛东门→长廊→祈年殿→丹陛桥→回音壁→圜丘→出南门。 （⚠不建议北门入南门出路线....问就是玄学😅） 🌹2小时游览路线： 天坛南门→圜丘→回音壁→九龙柏→丹陛桥→祈年殿→出祈年殿西门向西→神乐署→斋宫→出西门。
