official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json
BJ20_11,潭柘寺,宗教古建类,node_3394036298,node,3394036298,贾沟,transport,transport,39.893478,116.0084068,1721.29,"{""bus"": ""yes"", ""name"": ""贾沟"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_4157284026,node,4157284026,,parking,parking,39.8995195,116.0221174,420.68,"{""amenity"": ""parking""}"
BJ20_11,潭柘寺,宗教古建类,node_5202392570,node,5202392570,平原村,bus,transport,39.8961515,116.0206534,812.31,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""平原村"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_5202392571,node,5202392571,平原村,bus,transport,39.8963567,116.0205778,794.14,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""平原村"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_9194888150,node,9194888150,门头沟大量客栈,food_retail,food_retail,39.8922613,116.0210779,1211.79,"{""amenity"": ""restaurant"", ""name"": ""门头沟大量客栈""}"
BJ20_11,潭柘寺,宗教古建类,node_9195287744,node,9195287744,悬崖餐厅,food_retail,food_retail,39.9022274,116.0078825,1416.83,"{""amenity"": ""restaurant"", ""name"": ""悬崖餐厅""}"
BJ20_11,潭柘寺,宗教古建类,node_9195846129,node,9195846129,花堆,lodging,lodging,39.9035335,116.0081883,1391.19,"{""name"": ""花堆"", ""tourism"": ""guest_house""}"
BJ20_11,潭柘寺,宗教古建类,node_9195846130,node,9195846130,竹雅山舍,lodging,lodging,39.9038899,116.0093641,1294.02,"{""name"": ""竹雅山舍"", ""tourism"": ""guest_house""}"
BJ20_11,潭柘寺,宗教古建类,node_9195846131,node,9195846131,一瓢客栈,lodging,lodging,39.9024656,116.0086987,1346.2,"{""name"": ""一瓢客栈"", ""tourism"": ""guest_house""}"
BJ20_11,潭柘寺,宗教古建类,node_9195846132,node,9195846132,顽石山居,lodging,lodging,39.9022544,116.0106493,1180.98,"{""name"": ""顽石山居"", ""tourism"": ""guest_house""}"
BJ20_11,潭柘寺,宗教古建类,node_9196594003,node,9196594003,八奇洞,bus,transport,39.8913241,116.0200635,1334.97,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""八奇洞"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_9196594004,node,9196594004,八奇洞,bus,transport,39.8913764,116.0201849,1326.5,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""八奇洞"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_9818967142,node,9818967142,断崖,nearby_attractions,nearby_attractions,39.919046,116.0330937,1945.92,"{""name"": ""断崖"", ""natural"": ""cliff"", ""tourism"": ""attraction""}"
BJ20_11,潭柘寺,宗教古建类,node_9840219836,node,9840219836,海蟾石,nearby_attractions,nearby_attractions,39.9080654,116.0253062,585.0,"{""name"": ""海蟾石"", ""natural"": ""rock"", ""tourism"": ""attraction""}"
BJ20_11,潭柘寺,宗教古建类,node_9843698264,node,9843698264,断崖,nearby_attractions,nearby_attractions,39.9161462,116.0375678,1853.53,"{""name"": ""断崖"", ""natural"": ""cliff"", ""tourism"": ""attraction""}"
BJ20_11,潭柘寺,宗教古建类,node_9843698273,node,9843698273,裂缝断崖,nearby_attractions,nearby_attractions,39.9164233,116.0388225,1943.75,"{""name"": ""裂缝断崖"", ""natural"": ""cliff"", ""tourism"": ""attraction""}"
BJ20_11,潭柘寺,宗教古建类,node_9843698762,node,9843698762,横岭南沟大断崖,nearby_attractions,nearby_attractions,39.9194177,116.0303461,1909.85,"{""name"": ""横岭南沟大断崖"", ""natural"": ""cliff"", ""tourism"": ""attraction""}"
BJ20_11,潭柘寺,宗教古建类,node_9850630501,node,9850630501,潭柘寺镇桑峪村,transport,transport,39.8965437,116.0340939,1079.03,"{""bus"": ""yes"", ""name"": ""潭柘寺镇桑峪村"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_10566908592,node,10566908592,小断崖,nearby_attractions,nearby_attractions,39.9184021,116.0360488,1991.96,"{""name"": ""小断崖"", ""natural"": ""cliff"", ""tourism"": ""attraction""}"
BJ20_11,潭柘寺,宗教古建类,node_10566931210,node,10566931210,神秘谷断崖,nearby_attractions,nearby_attractions,39.9173692,116.0334581,1787.79,"{""name"": ""神秘谷断崖"", ""natural"": ""cliff"", ""tourism"": ""attraction""}"
BJ20_11,潭柘寺,宗教古建类,node_11076788636,node,11076788636,八奇洞,transport,transport,39.8913269,116.0201197,1333.33,"{""bus"": ""yes"", ""name"": ""八奇洞"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_11076788637,node,11076788637,八奇洞,transport,transport,39.8913885,116.0201298,1326.51,"{""bus"": ""yes"", ""name"": ""八奇洞"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_11076788638,node,11076788638,平原村,transport,transport,39.8963551,116.0206483,791.8,"{""bus"": ""yes"", ""name"": ""平原村"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_11076788639,node,11076788639,平原村,transport,transport,39.8961656,116.0206007,812.69,"{""bus"": ""yes"", ""name"": ""平原村"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_11270906010,node,11270906010,潭柘寺镇桑峪村,bus,transport,39.8965525,116.0340462,1075.3,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""潭柘寺镇桑峪村"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_11270906011,node,11270906011,潭柘寺镇桑峪村,bus,transport,39.896529,116.0341583,1084.27,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""潭柘寺镇桑峪村"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_11296514638,node,11296514638,西港沟,transport,transport,39.8866147,116.0166557,1923.83,"{""bus"": ""yes"", ""name"": ""西港沟"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_11296514639,node,11296514639,西港沟,bus,transport,39.8866403,116.0167055,1919.69,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""西港沟"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_11296514640,node,11296514640,西港沟,bus,transport,39.8865674,116.0166027,1930.33,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""西港沟"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_11296514645,node,11296514645,贾沟,transport,transport,39.8935095,116.0083045,1726.14,"{""bus"": ""yes"", ""name"": ""贾沟"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_11296514646,node,11296514646,贾沟,bus,transport,39.8935517,116.0083159,1722.55,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""贾沟"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_11296514647,node,11296514647,贾沟,bus,transport,39.8934062,116.0083998,1726.61,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""贾沟"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_11515645944,node,11515645944,王坡村路口,transport,transport,39.9007168,116.0125486,1044.28,"{""bus"": ""yes"", ""name"": ""王坡村路口"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_11515645945,node,11515645945,王坡村路口,bus,transport,39.9006997,116.0124772,1050.65,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""王坡村路口"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_11515645946,node,11515645946,王坡村路口,bus,transport,39.9007717,116.0126617,1033.51,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""王坡村路口"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_11515645948,node,11515645948,王坡村路口,transport,transport,39.9008228,116.0125738,1039.58,"{""bus"": ""yes"", ""name"": ""王坡村路口"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_11515645958,node,11515645958,王坡村,transport,transport,39.9065109,116.0193729,596.27,"{""bus"": ""yes"", ""name"": ""王坡村"", ""public_transport"": ""stop_position""}"
BJ20_11,潭柘寺,宗教古建类,node_11515645964,node,11515645964,王坡村,bus,transport,39.9065429,116.0193563,599.74,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""王坡村"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_11515645965,node,11515645965,王坡村,bus,transport,39.9064577,116.0193901,591.16,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""王坡村"", ""public_transport"": ""platform""}"
BJ20_11,潭柘寺,宗教古建类,node_13415145517,node,13415145517,,nearby_attractions,nearby_attractions,39.8922893,116.0240539,1174.11,"{""tourism"": ""viewpoint""}"
BJ20_11,潭柘寺,宗教古建类,node_13439097121,node,13439097121,八佛广场,nearby_attractions,nearby_attractions,39.8905903,116.0218008,1381.42,"{""name"": ""八佛广场"", ""tourism"": ""attraction""}"
BJ20_11,潭柘寺,宗教古建类,way_551363906,way,551363906,定都阁,nearby_attractions,nearby_attractions,39.9066666,116.0486591,2106.42,"{""area"": ""yes"", ""name"": ""定都阁"", ""name:en"": ""Dingdu Pavilion"", ""tourism"": ""attraction""}"
BJ20_11,潭柘寺,宗教古建类,way_679183736,way,679183736,停车场,parking,parking,39.900542,116.0254796,269.93,"{""amenity"": ""parking"", ""name"": ""停车场""}"
BJ20_11,潭柘寺,宗教古建类,way_679185395,way,679185395,厕所,public_service,public_service,39.9039891,116.0238261,138.82,"{""amenity"": ""toilets"", ""building"": ""yes"", ""name"": ""厕所""}"
BJ20_11,潭柘寺,宗教古建类,way_679186681,way,679186681,,public_service,public_service,39.9001338,116.0250492,305.28,"{""amenity"": ""toilets"", ""building"": ""yes""}"
BJ20_11,潭柘寺,宗教古建类,way_679625562,way,679625562,厕所,public_service,public_service,39.9043085,116.0254626,183.49,"{""amenity"": ""toilets"", ""building"": ""yes"", ""name"": ""厕所""}"
BJ20_11,潭柘寺,宗教古建类,way_1013707362,way,1013707362,,parking,parking,39.8994604,116.0221229,426.24,"{""amenity"": ""parking""}"
BJ20_11,潭柘寺,宗教古建类,way_1462506265,way,1462506265,八奇洞停车场,parking,parking,39.8919213,116.0206608,1257.26,"{""amenity"": ""parking"", ""name"": ""八奇洞停车场""}"
BJ20_11,潭柘寺,宗教古建类,way_1465243336,way,1465243336,,public_service,public_service,39.8919682,116.0249071,1209.83,"{""building"": ""yes"", ""information"": ""office"", ""tourism"": ""information""}"
BJ20_11,潭柘寺,宗教古建类,way_1465243394,way,1465243394,定都阁南门停车场,parking,parking,39.8977859,116.0466124,1970.57,"{""amenity"": ""parking"", ""name"": ""定都阁南门停车场""}"
