experiment_name,slot_rank,scenic_name,rating_bucket,available_in_bucket_after_lda_filter_n,sample_quota_n,sample_actual_n
experiment2_lda_ready,1,故宫博物院,1,40,6,6
experiment2_lda_ready,1,故宫博物院,2,13,2,2
experiment2_lda_ready,1,故宫博物院,3,49,7,7
experiment2_lda_ready,1,故宫博物院,4,121,18,18
experiment2_lda_ready,1,故宫博物院,5,1837,267,267
experiment2_lda_ready,2,颐和园,1,51,9,9
experiment2_lda_ready,2,颐和园,2,15,3,3
experiment2_lda_ready,2,颐和园,3,46,9,9
experiment2_lda_ready,2,颐和园,4,159,30,30
experiment2_lda_ready,2,颐和园,5,1330,249,249
experiment2_lda_ready,3,天坛公园,1,30,7,7
experiment2_lda_ready,3,天坛公园,2,11,3,3
experiment2_lda_ready,3,天坛公园,3,56,14,14
experiment2_lda_ready,3,天坛公园,4,210,51,51
experiment2_lda_ready,3,天坛公园,5,925,225,225
experiment2_lda_ready,4,景山公园,1,88,14,14
experiment2_lda_ready,4,景山公园,2,12,2,2
experiment2_lda_ready,4,景山公园,3,37,6,6
experiment2_lda_ready,4,景山公园,4,171,27,27
experiment2_lda_ready,4,景山公园,5,1565,251,251
experiment2_lda_ready,5,恭王府,1,7,3,3
experiment2_lda_ready,5,恭王府,2,8,3,3
experiment2_lda_ready,5,恭王府,3,38,14,14
experiment2_lda_ready,5,恭王府,4,115,43,43
experiment2_lda_ready,5,恭王府,5,631,237,237
experiment2_lda_ready,6,明十三陵,1,38,11,11
experiment2_lda_ready,6,明十三陵,2,9,3,3
experiment2_lda_ready,6,明十三陵,3,80,23,23
experiment2_lda_ready,6,明十三陵,4,174,50,50
experiment2_lda_ready,6,明十三陵,5,733,213,213
experiment2_lda_ready,7,八达岭长城,1,37,10,10
experiment2_lda_ready,7,八达岭长城,2,14,4,4
experiment2_lda_ready,7,八达岭长城,3,52,14,14
experiment2_lda_ready,7,八达岭长城,4,167,45,45
experiment2_lda_ready,7,八达岭长城,5,847,227,227
experiment2_lda_ready,8,慕田峪长城,1,19,4,4
experiment2_lda_ready,8,慕田峪长城,2,14,3,3
experiment2_lda_ready,8,慕田峪长城,3,41,9,9
experiment2_lda_ready,8,慕田峪长城,4,182,41,41
experiment2_lda_ready,8,慕田峪长城,5,1087,243,243
experiment2_lda_ready,9,居庸关长城,1,9,2,2
experiment2_lda_ready,9,居庸关长城,2,6,1,1
experiment2_lda_ready,9,居庸关长城,3,29,7,7
experiment2_lda_ready,9,居庸关长城,4,184,44,44
experiment2_lda_ready,9,居庸关长城,5,1037,246,246
experiment2_lda_ready,10,司马台长城,1,18,10,10
experiment2_lda_ready,10,司马台长城,2,5,3,3
experiment2_lda_ready,10,司马台长城,3,32,19,19
experiment2_lda_ready,10,司马台长城,4,83,49,49
experiment2_lda_ready,10,司马台长城,5,373,219,219
experiment2_lda_ready,11,潭柘寺,1,15,5,5
experiment2_lda_ready,11,潭柘寺,2,6,2,2
experiment2_lda_ready,11,潭柘寺,3,14,4,4
experiment2_lda_ready,11,潭柘寺,4,127,41,41
experiment2_lda_ready,11,潭柘寺,5,766,248,248
experiment2_lda_ready,12,红螺寺,1,11,3,3
experiment2_lda_ready,12,红螺寺,2,3,1,1
experiment2_lda_ready,12,红螺寺,3,16,4,4
experiment2_lda_ready,12,红螺寺,4,148,43,43
experiment2_lda_ready,12,红螺寺,5,863,249,249
experiment2_lda_ready,13,首都博物馆,1,6,5,5
experiment2_lda_ready,13,首都博物馆,2,1,1,1
experiment2_lda_ready,13,首都博物馆,3,6,4,4
experiment2_lda_ready,13,首都博物馆,4,35,27,27
experiment2_lda_ready,13,首都博物馆,5,343,263,263
experiment2_lda_ready,14,北京天文馆,1,58,27,27
experiment2_lda_ready,14,北京天文馆,2,13,6,6
experiment2_lda_ready,14,北京天文馆,3,34,16,16
experiment2_lda_ready,14,北京天文馆,4,73,34,34
experiment2_lda_ready,14,北京天文馆,5,463,217,217
experiment2_lda_ready,15,中国科学技术馆,1,150,26,26
experiment2_lda_ready,15,中国科学技术馆,2,41,7,7
experiment2_lda_ready,15,中国科学技术馆,3,83,15,15
experiment2_lda_ready,15,中国科学技术馆,4,117,21,21
experiment2_lda_ready,15,中国科学技术馆,5,1305,231,231
experiment2_lda_ready,16,香山公园,1,17,3,3
experiment2_lda_ready,16,香山公园,2,10,2,2
experiment2_lda_ready,16,香山公园,3,66,14,14
experiment2_lda_ready,16,香山公园,4,169,35,35
experiment2_lda_ready,16,香山公园,5,1192,246,246
experiment2_lda_ready,17,北京动物园,1,55,13,13
experiment2_lda_ready,17,北京动物园,2,40,10,10
experiment2_lda_ready,17,北京动物园,3,112,26,26
experiment2_lda_ready,17,北京动物园,4,209,49,49
experiment2_lda_ready,17,北京动物园,5,860,202,202
experiment2_lda_ready,18,玉渊潭公园,1,6,3,3
experiment2_lda_ready,18,玉渊潭公园,2,1,1,1
experiment2_lda_ready,18,玉渊潭公园,3,17,8,8
experiment2_lda_ready,18,玉渊潭公园,4,98,49,49
experiment2_lda_ready,18,玉渊潭公园,5,484,239,239
experiment2_lda_ready,19,国家游泳中心,1,32,21,21
experiment2_lda_ready,19,国家游泳中心,2,8,5,5
experiment2_lda_ready,19,国家游泳中心,3,32,21,21
experiment2_lda_ready,19,国家游泳中心,4,76,51,51
experiment2_lda_ready,19,国家游泳中心,5,304,202,202
experiment2_lda_ready,20,奥林匹克塔,1,13,11,11
experiment2_lda_ready,20,奥林匹克塔,2,6,5,5
experiment2_lda_ready,20,奥林匹克塔,3,30,26,26
experiment2_lda_ready,20,奥林匹克塔,4,65,56,56
experiment2_lda_ready,20,奥林匹克塔,5,234,202,202
